entitytype,authoritydoc,authoritydocconceptschemename
THREAT_CAUSE_TYPE.E55,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_CERTAINTY_TYPE.E55,THREAT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_EFFECT_CERTAINTY_TYPE.E55,THREAT_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_EFFECT_TYPE.E55,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
TO_DATE.E55,TO_DATE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_10_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_10_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_11_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_11_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_12_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_12_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_13_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_13_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_14_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_14_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_15_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_15_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_4_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_5_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_6_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_6_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_7_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_7_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_8_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_8_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_9_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_9_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
ORGANISATION_TYPE.E55,ORGANISATION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
ACTOR_TYPE_CERTAINTY_TYPE.E55,ACTOR_TYPE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
PROJECTION_TYPE.E55,PROJECTION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTRICT.E53,DISTRICT_AUTHORITY_DOCUMENT.csv,Eamena
GOVERNATE.E53,GOVERNATE_AUTHORITY_DOCUMENT.csv,Eamena
